CommonName	GeneID	Family	DAP-methylated/DAP-unmethylated	Amp-methylated/Amp-unmethylated	Correlation_5mC_vs_BindingFC	P_Value	Group
SlWRKY11	Solyc08g006320.2	WRKY	-1.13586053756888	0.0894275398365382	-0.378795022654824	0	methylation-inhibited
APETALA2a	Solyc03g044300.2	AP2	-1.14136538914695	-0.322384585279939	-0.321135098735958	2.2107546457043e-240	methylation-inhibited
LeZIP2	Solyc01g079480.2	bZIP	-1.14210380433649	0.588841672097217	-0.5195037688013	0	methylation-inhibited
SlNAM4	Solyc06g073050.2	NAC	-1.16099886594252	-0.672041163007767	-0.277458502173578	0	methylation-inhibited
SlWRKY7	Solyc04g078550.2	WRKY	-1.25571071861318	-0.08164416019259	-0.467879687719581	0	methylation-inhibited
SlTCP18	Solyc02g068200.1	TCP	-1.29434330102749	-2.94596192561741	0.0565926943758355	1.24619252135178e-20	methylation-inhibited
SlbHLH147(SlMYC2)	Solyc08g076930.1	bHLH	-1.31455524224355	0.153227213716953	-0.41441501299956	0	methylation-inhibited
SlMYB70	Solyc04g078420.1	MYB	-1.399026944924	-1.12107046436418	-0.5861131035042	0	methylation-inhibited
SlDRP1	Solyc01g096050.2	bHLH	-1.4640792012257	0.612368688865108			methylation-inhibited
SlWRKY81	Solyc09g015770.2	WRKY	-1.56403730978457	0.199027815157933	-0.58374269100504	0	methylation-inhibited
NAC-NOR	Solyc10g006880.2	NAC	-1.66212868996551	0.210628521374798	-0.648402139497066	0	methylation-inhibited
SolycHsfB2b	Solyc08g080540.2	HSF	-1.70256707284887	-0.41787209330593	-0.512068197651362	0	methylation-inhibited
SlZIP3	Solyc01g109880.2	bZIP	-1.71417647354128	0.146282666590757	-0.495418572420505	0	methylation-inhibited
PTI4	Solyc05g052050.1	ERF	-1.97214672103753	-0.668970915081231	-0.421043400153636	0	methylation-inhibited
SlZIP7	Solyc04g080740.1	bZIP	-2.00018914325488	-0.0202133843048739	-0.579928091296759	0	methylation-inhibited
Sl-ERF_F_5	Solyc10g009110.1	ERF	-2.02687520605413	-1.28706997980177	-0.57387406095478	0	methylation-inhibited
SolycHsfB1	Solyc02g090820.2	HSF	-2.11338034514556	-1.13579150625462	-0.577692514839458	0	methylation-inhibited
SlWRKY6	Solyc02g080890.2	WRKY	-2.12886749508105	-0.137618174649837	-0.570183172353279	0	methylation-inhibited
SlWRKY23	Solyc01g079260.2	WRKY	-2.18213468867811	-0.155397389590169	-0.612734904084573	0	methylation-inhibited
SlERF1a-2	Solyc03g093540.1	ERF	-2.25693036709958	-1.10239110168515	-0.430159059344522	0	methylation-inhibited
SlbHLH014	Solyc02g079970.2	bHLH	-2.25808522344269	0.226694747474353	-0.799165233229496	0	methylation-inhibited
DREB3	Solyc04g072900.1	ERF	-2.32031176800727	0.153649249451674	-0.536722983101731	0	methylation-inhibited
SolycHsfC1	Solyc12g007070.1	HSF	-2.35613691701633	-0.318142517931214	-0.577898808563996	0	methylation-inhibited
SlGABL2	Solyc02g084230.1	BBR-BPC	-2.40410314692619	-1.12587386071939	-0.285392313286963	0	methylation-inhibited
SlGABL4	Solyc04g081170.2	BBR-BPC	-2.41359629533275	-1.70289563391443	-0.27235886028353	0	methylation-inhibited
