Transcription_Factor	GeneID	Family	Method	Pattern	Seqlets_Number
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 0	3295
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 1	2636
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 2	2396
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 3	2354
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 4	2263
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 5	2196
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 6	2047
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 7	1847
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 8	1805
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 9	1632
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 10	1565
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 11	1406
CZFP1	Solyc04g077980.1	C2H2	BPNet	Pattern 12	1376
SlZF2	Solyc01g107170.2	C2H2	BPNet	Pattern 0	2679
SlZF2	Solyc01g107170.2	C2H2	BPNet	Pattern 1	1824
SlZF2	Solyc01g107170.2	C2H2	BPNet	Pattern 2	1763
SlZF2	Solyc01g107170.2	C2H2	BPNet	Pattern 3	1453
SlZF2	Solyc01g107170.2	C2H2	BPNet	Pattern 4	1444
SlZF2	Solyc01g107170.2	C2H2	BPNet	Pattern 5	1391
SlWRKY81	Solyc09g015770.2	WRKY	BPNet	Pattern 0	11850
Sl-ERF_F_2	Solyc07g064890.1	ERF	BPNet	Pattern 0	12717
Sl-ERF_F_2	Solyc07g064890.1	ERF	BPNet	Pattern 1	4435
VAHOX1	Solyc03g113270.2	HD-ZIP	BPNet	Pattern 0	2029
SlGABL2	Solyc02g084230.1	BBR-BPC	BPNet	Pattern 0	21888
Sl-ERF_E_1	Solyc09g075420.2	ERF	BPNet	Pattern 0	2297
NAC-NOR	Solyc10g006880.2	NAC	BPNet	Pattern 0	2695
CNR	Solyc02g077920.2	SBP	BPNet	Pattern 0	17685
SlWRKY31	Solyc06g066370.2	WRKY	BPNet	Pattern 0	33243
CBF2	Solyc03g124110.1	ERF	BPNet	Pattern 0	15212
SlWRKY11	Solyc08g006320.2	WRKY	BPNet	Pattern 0	5760
SolycHsfB1	Solyc02g090820.2	HSF	BPNet	Pattern 0	8483
SolycHsfB1	Solyc02g090820.2	HSF	BPNet	Pattern 1	3670
SolycHsfB1	Solyc02g090820.2	HSF	BPNet	Pattern 2	3108
SlNAM1	Solyc06g060230.2	NAC	BPNet	Pattern 0	4526
SlNAM1	Solyc06g060230.2	NAC	BPNet	Pattern 1	1499
SlWRKY41	Solyc01g095630.2	WRKY	BPNet	Pattern 0	1649
EIL4	Solyc06g073730.1	EIL	BPNet	Pattern 0	4335
LES1	Solyc06g071230.2	MYB_related	BPNet	Pattern 0	26962
EIL3	Solyc01g096810.2	EIL	BPNet	Pattern 0	12572
EIL3	Solyc01g096810.2	EIL	BPNet	Pattern 1	4267
SlTCP15	Solyc01g008230.2	TCP	BPNet	Pattern 0	3636
SlGABL4	Solyc04g081170.2	BBR-BPC	BPNet	Pattern 0	5771
EIL2	Solyc01g009170.2	EIL	BPNet	Pattern 0	1593
Sl-ERF_F_4	Solyc07g053740.1	ERF	BPNet	Pattern 0	16452
SlERF36	Solyc10g006130.1	ERF	BPNet	Pattern 0	2456
GRAS9	Solyc06g036170.1	GRAS	BPNet	Pattern 0	27102
SlERF4-1	Solyc12g009240.1	ERF	BPNet	Pattern 0	2554
Sl-ERF_E_4	Solyc01g065980.2	ERF	BPNet	Pattern 0	1442
SlMYB70	Solyc04g078420.1	MYB	BPNet	Pattern 0	3203
SlMYB70	Solyc04g078420.1	MYB	BPNet	Pattern 1	2844
SlMYB70	Solyc04g078420.1	MYB	BPNet	Pattern 2	1463
SlMYBL1	Solyc04g005100.2	MYB_related	BPNet	Pattern 0	3186
SlMYBL1	Solyc04g005100.2	MYB_related	BPNet	Pattern 1	2225
SlGT2	Solyc11g005380.1	Trihelix	BPNet	Pattern 0	24321
SlGT2	Solyc11g005380.1	Trihelix	BPNet	Pattern 1	3376
SlDof14	Solyc03g121400.1	Dof	BPNet	Pattern 0	17539
SlDof14	Solyc03g121400.1	Dof	BPNet	Pattern 1	3180
SlWRKY7	Solyc04g078550.2	WRKY	BPNet	Pattern 0	14759
SlWRKY7	Solyc04g078550.2	WRKY	BPNet	Pattern 1	2362
SlWRKY40	Solyc06g068460.2	WRKY	BPNet	Pattern 0	27360
SlWRKY40	Solyc06g068460.2	WRKY	BPNet	Pattern 1	2548
ERF9	Solyc11g012980.1	ERF	BPNet	Pattern 0	19703
SolycHsfC1	Solyc12g007070.1	HSF	BPNet	Pattern 0	9400
Sl-ERF_C_4	Solyc03g123500.2	ERF	BPNet	Pattern 0	1923
SlWRKY6	Solyc02g080890.2	WRKY	BPNet	Pattern 0	32382
