index	pattern	n-seqlets
JERF1	pattern_0	92
JERF1	pattern_1	79
JERF1	pattern_2	78
JERF1	pattern_3	33
CZFP1	pattern_0	3295
CZFP1	pattern_1	2636
CZFP1	pattern_2	2396
CZFP1	pattern_3	2354
CZFP1	pattern_4	2263
CZFP1	pattern_5	2196
CZFP1	pattern_6	2047
CZFP1	pattern_7	1847
CZFP1	pattern_8	1805
CZFP1	pattern_9	1632
CZFP1	pattern_10	1565
CZFP1	pattern_11	1406
CZFP1	pattern_12	1376
CZFP1	pattern_13	1302
CZFP1	pattern_14	1276
CZFP1	pattern_15	1133
CZFP1	pattern_16	1051
CZFP1	pattern_17	944
CZFP1	pattern_18	944
CZFP1	pattern_19	885
CZFP1	pattern_20	740
CZFP1	pattern_21	722
CZFP1	pattern_22	669
CZFP1	pattern_23	627
CZFP1	pattern_24	553
CZFP1	pattern_25	458
CZFP1	pattern_26	448
CZFP1	pattern_27	442
CZFP1	pattern_28	402
CZFP1	pattern_29	387
CZFP1	pattern_30	364
CZFP1	pattern_31	322
CZFP1	pattern_32	316
CZFP1	pattern_33	280
CZFP1	pattern_34	279
CZFP1	pattern_35	263
CZFP1	pattern_36	262
CZFP1	pattern_37	261
CZFP1	pattern_38	251
CZFP1	pattern_39	242
CZFP1	pattern_40	241
CZFP1	pattern_41	236
CZFP1	pattern_42	223
CZFP1	pattern_43	218
CZFP1	pattern_44	205
CZFP1	pattern_45	202
CZFP1	pattern_46	202
CZFP1	pattern_47	194
CZFP1	pattern_48	191
CZFP1	pattern_49	182
CZFP1	pattern_50	176
CZFP1	pattern_51	169
CZFP1	pattern_52	168
CZFP1	pattern_53	165
CZFP1	pattern_54	153
CZFP1	pattern_55	152
CZFP1	pattern_56	143
CZFP1	pattern_57	143
CZFP1	pattern_58	141
CZFP1	pattern_59	139
CZFP1	pattern_60	138
CZFP1	pattern_61	130
CZFP1	pattern_62	126
CZFP1	pattern_63	122
CZFP1	pattern_64	122
CZFP1	pattern_65	98
CZFP1	pattern_66	94
CZFP1	pattern_67	93
CZFP1	pattern_68	92
CZFP1	pattern_69	92
CZFP1	pattern_70	89
CZFP1	pattern_71	84
CZFP1	pattern_72	84
CZFP1	pattern_73	76
CZFP1	pattern_74	69
CZFP1	pattern_75	68
CZFP1	pattern_76	68
CZFP1	pattern_77	66
CZFP1	pattern_78	64
CZFP1	pattern_79	64
CZFP1	pattern_80	61
CZFP1	pattern_81	56
CZFP1	pattern_82	56
CZFP1	pattern_83	54
CZFP1	pattern_84	50
CZFP1	pattern_85	47
CZFP1	pattern_86	39
CZFP1	pattern_87	38
CZFP1	pattern_88	38
CZFP1	pattern_89	34
CZFP1	pattern_90	33
CZFP1	pattern_91	31
CZFP1	pattern_92	23
CZFP1	pattern_93	22
SlZF2	pattern_0	2679
SlZF2	pattern_1	1824
SlZF2	pattern_2	1763
SlZF2	pattern_3	1453
SlZF2	pattern_4	1444
SlZF2	pattern_5	1391
SlZF2	pattern_6	1340
SlZF2	pattern_7	1111
SlZF2	pattern_8	1104
SlZF2	pattern_9	1050
SlZF2	pattern_10	1042
SlZF2	pattern_11	971
SlZF2	pattern_12	799
SlZF2	pattern_13	732
SlZF2	pattern_14	712
SlZF2	pattern_15	701
SlZF2	pattern_16	684
SlZF2	pattern_17	607
SlZF2	pattern_18	558
SlZF2	pattern_19	546
SlZF2	pattern_20	500
SlZF2	pattern_21	490
SlZF2	pattern_22	463
SlZF2	pattern_23	450
SlZF2	pattern_24	432
SlZF2	pattern_25	315
SlZF2	pattern_26	296
SlZF2	pattern_27	281
SlZF2	pattern_28	264
SlZF2	pattern_29	259
SlZF2	pattern_30	251
SlZF2	pattern_31	230
SlZF2	pattern_32	227
SlZF2	pattern_33	220
SlZF2	pattern_34	213
SlZF2	pattern_35	201
SlZF2	pattern_36	188
SlZF2	pattern_37	180
SlZF2	pattern_38	175
SlZF2	pattern_39	171
SlZF2	pattern_40	166
SlZF2	pattern_41	165
SlZF2	pattern_42	129
SlZF2	pattern_43	128
SlZF2	pattern_44	123
SlZF2	pattern_45	116
SlZF2	pattern_46	106
SlZF2	pattern_47	105
SlZF2	pattern_48	102
SlZF2	pattern_49	94
SlZF2	pattern_50	92
SlZF2	pattern_51	92
SlZF2	pattern_52	91
SlZF2	pattern_53	91
SlZF2	pattern_54	89
SlZF2	pattern_55	82
SlZF2	pattern_56	78
SlZF2	pattern_57	76
SlZF2	pattern_58	76
SlZF2	pattern_59	75
