original_file,new_file,group,number,common_name,dap_type,rep,control_files,source
A22-1.bw,A_SlTCP18_DAP_rep1.bw,A,22,SlTCP18,DAP,1,A-N-1.bw,daplist
D124_1.bw,D_SlERF5_DAP_rep1.bw,D,124,SlERF5,DAP,1,D_N_1.bw,daplist
ampA26_3.bw,A_LAT61_ampDAP_rep3.bw,A,26,LAT61,ampDAP,3,ampA_N_3.bw,daplist
B61_1.bw,B_SlDof14_DAP_rep1.bw,B,61,SlDof14,DAP,1,B_N_1.bw,daplist
CN78-1.bw,CN_SlWRKY23_DAP_rep1.bw,CN,78,SlWRKY23,DAP,1,CN-N-1.bw,daplist
CN77-2.bw,CN_SlNAM4_DAP_rep2.bw,CN,77,SlNAM4,DAP,2,CN-N-2.bw,daplist
B39_2.bw,B_EIL2_DAP_rep2.bw,B,39,EIL2,DAP,2,B_N_2.bw,daplist
ampA12_1.bw,A_Sl-ERF_E_1_ampDAP_rep1.bw,A,12,Sl-ERF_E_1,ampDAP,1,ampA_N_1.bw,daplist
ampC77-3.bw,C_SlNAM4_ampDAP_rep3.bw,C,77,SlNAM4,ampDAP,3,ampC-N-3.bw,daplist
ampA2_2.bw,A_CZFP1_ampDAP_rep2.bw,A,2,CZFP1,ampDAP,2,ampA_N_2.bw,daplist
B43_3.bw,B_Sl-ERF_F_4_DAP_rep3.bw,B,43,Sl-ERF_F_4,DAP,3,B_N_3.bw,daplist
A16-3.bw,A_SlWRKY31_DAP_rep3.bw,A,16,SlWRKY31,DAP,3,A-N-3.bw,bpnet
ampD124-3.bw,D_SlERF5_ampDAP_rep3.bw,D,124,SlERF5,ampDAP,3,ampD-N-3.bw,daplist
ampC79-1.bw,C_SlZIP1_ampDAP_rep1.bw,C,79,SlZIP1,ampDAP,1,ampC-N-1.bw,daplist
ampA3_3.bw,A_SlZF2_ampDAP_rep3.bw,A,3,SlZF2,ampDAP,3,ampA_N_3.bw,daplist
A17-2.bw,A_CBF2_DAP_rep2.bw,A,17,CBF2,DAP,2,A-N-2.bw,daplist
A18-1.bw,A_SlWRKY11_DAP_rep1.bw,A,18,SlWRKY11,DAP,1,A-N-1.bw,daplist
ampC96-1.bw,C_SlySBP12a_ampDAP_rep1.bw,C,96,SlySBP12a,ampDAP,1,ampC-N-1.bw,total_mapped_uniq
A3-1.bw,A_SlZF2_DAP_rep1.bw,A,3,SlZF2,DAP,1,A-N-1.bw,daplist
B38_3.bw,B_SlHB1_DAP_rep3.bw,B,38,SlHB1,DAP,3,B_N_3.bw,daplist
ampA31_2.bw,A_GRAS10_ampDAP_rep2.bw,A,31,GRAS10,ampDAP,2,ampA_N_2.bw,daplist
ampB62_3.bw,B_SlWRKY7_ampDAP_rep3.bw,B,62,SlWRKY7,ampDAP,3,ampB_N_3.bw,daplist
F108-1.bw,F_SlHZIP2_DAP_rep1.bw,F,108,SlHZIP2,DAP,1,F-N-1.bw,daplist
ampD108-3.bw,D_SlHZIP2_ampDAP_rep3.bw,D,108,SlHZIP2,ampDAP,3,ampD-N-3.bw,daplist
ampA28_1.bw,A_LES1_ampDAP_rep1.bw,A,28,LES1,ampDAP,1,ampA_N_1.bw,daplist
ampA27_2.bw,A_EIL4_ampDAP_rep2.bw,A,27,EIL4,ampDAP,2,ampA_N_2.bw,daplist
B54_2.bw,B_SlMYB70_DAP_rep2.bw,B,54,SlMYB70,DAP,2,B_N_2.bw,daplist
ampB56_1.bw,B_SlMYBL1_ampDAP_rep1.bw,B,56,SlMYBL1,ampDAP,1,ampB_N_1.bw,daplist
SR64-3.bw,SR_SlZIP7_ampDAP_rep3.bw,SR,64,SlZIP7,ampDAP,3,SRN-3.bw,daplist
SR13-3.bw,SR_NAC-NOR_ampDAP_rep3.bw,SR,13,NAC-NOR,ampDAP,3,SRN-3.bw,daplist
ampC82-3.bw,C_SlMADF1_ampDAP_rep3.bw,C,82,SlMADF1,ampDAP,3,ampC-N-3.bw,daplist
ampB54_3.bw,B_SlMYB70_ampDAP_rep3.bw,B,54,SlMYB70,ampDAP,3,ampB_N_3.bw,daplist
D128_1.bw,D_SlTCP12_DAP_rep1.bw,D,128,SlTCP12,DAP,1,D_N_1.bw,daplist
CN82-2.bw,CN_SlMADF1_DAP_rep2.bw,CN,82,SlMADF1,DAP,2,CN-N-2.bw,daplist
A21-2.bw,A_SlZF1_DAP_rep2.bw,A,21,SlZF1,DAP,2,A-N-2.bw,daplist
