TF_pair	amp	DAP	TFid	motifchr	motifstart	motifend	methylation_level	DAPsignal	ampDAP_signal	DAPsignal_corr	ampDAP_signal_corr
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch00	1921668	1921682	0.87	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch00	4033097	4033111	0.84	20.111400604248	122.382999420166	0.142928967805005	0.194309369731598
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch00	5763026	5763040	0.94	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch00	6001283	6001297	0.82	0	24.4766006469727	0	0.0388618751576502
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch00	8259986	8260000	0.81	13.407600402832	15.2979001998901	0.09528597853667	0.0242887113417791
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch00	9329398	9329412	0.69	22.6253004074097	21.4170007705688	0.160794909173365	0.0340041013946962
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	31330	31344	0.87	8.37974524497986	223.348999023438	0.0595537010028472	0.354614639582663
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	760049	760063	0.79	1863.65496826172	12662.0498046875	13.2447404434902	20.1037311449773
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	1577735	1577749	0.95	3.35190010070801	19.8872504234314	0.0238214946341675	0.0315752932497147
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	3580414	3580428	0.85	68.7138519287109	1430.34997558594	0.488339928349004	2.27098864685868
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	4171027	4171041	0.76	13.407600402832	108.61499786377	0.09528597853667	0.172449701987205
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	4175148	4175162	0.68	165.918998718262	543.074005126953	1.17916358451096	0.862246947319422
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	4334750	4334764	0.95	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	4424254	4424268	0.75	98.8810005187988	748.066009521484	0.702733718938144	1.18771590430394
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	4723190	4723204	1	6.70379018783569	140.740005493164	0.047642918103192	0.223455070499703
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	5139878	5139892	0.97	64.5240020751953	498.710494995117	0.45856323966356	0.791810320225463
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	5155406	5155420	0.88	10.055700302124	284.540008544922	0.0714644839025025	0.451768546168487
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	5403642	5403656	0.81	20.111400604248	208.050994873047	0.142928967805005	0.330325763197076
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	5434592	5434606	0.9	8.37973976135254	18.357400894165	0.0595536620314594	0.0291463276317422
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	5658374	5658388	0.68	95.5292510986328	1364.57000732422	0.678913295169938	2.16654877992899
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	8531675	8531689	0.68	70.3897476196289	688.403991699219	0.500250289341026	1.09298960134613
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	8775286	8775300	0.67	0	12.2383003234863	0	0.0194309375788251
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	10050497	10050511	0.92	5.02784514427185	21.4169998168945	0.0357322063686797	0.0340040998805329
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	10104084	10104098	0.88	0	6.11915016174316	0	0.00971546878941256
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	15423714	15423728	0.97	3.35189509391785	33.6553001403809	0.023821459051596	0.053435037459358
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	15430843	15430857	0.96	3.35190010070801	97.9063034057617	0.0238214946341675	0.15544734315761
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	16158214	16158228	0.89	15.0834999084473	159.097496032715	0.107196366639222	0.252601540462802
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	18993479	18993493	0.91	0	74.9595489501953	0	0.11901442831836
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	19000657	19000671	0.87	6.70379018783569	244.766006469727	0.047642918103192	0.388618751576502
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	19217140	19217154	0.86	3.35189509391785	21.417010307312	0.023821459051596	0.03400411653633
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	19292403	19292417	0.88	15.0834999084473	33.6553001403809	0.107196366639222	0.053435037459358
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	19563152	19563166	0.94	0.837975025177002	0	0.00595537365854187	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	19569698	19569712	0.78	0	21.4170498847961	0	0.03400417937411
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	21191708	21191722	1	17.5974502563477	41.3042507171631	0.125062667222114	0.0655793938873292
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	23116513	23116527	0.9	3.35190010070801	0	0.0238214946341675	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	24376211	24376225	0.73	8.37973976135254	52.0127506256104	0.0595536620314594	0.0825814438275956
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	24487172	24487186	0.67	10.055700302124	123.91300201416	0.0714644839025025	0.196738578372792
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	26540248	26540262	0.68	22.6253004074097	212.640495300293	0.160794909173365	0.337612583585743
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	28295264	28295278	0.81	6.70379018783569	18.357400894165	0.047642918103192	0.0291463276317422
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	29815777	29815791	0.88	8.37971997261047	18.357400894165	0.0595535213955816	0.0291463276317422
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	30169301	30169315	0.88	125.695999145508	1300.31994628906	0.89330423915336	2.06453797022415
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	30176470	30176484	0.82	24.3012504577637	368.679000854492	0.172705656490449	0.585357317835987
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	30614972	30614986	0.9	5.02784514427185	6.11915016174316	0.0357322063686797	0.00971546878941256
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	32034704	32034718	0.95	3.35190010070801	48.9532012939453	0.0238214946341675	0.0777237503153005
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	33175030	33175044	0.88	0	27.5361499786377	0	0.0437195686699454
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	33263088	33263102	0.7	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	34132298	34132312	0.88	12.5696001052856	529.306503295898	0.0893304252708625	0.840388072996637
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	34132300	34132314	0.88	12.5696001052856	529.306503295898	0.0893304252708625	0.840388072996637
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	35202004	35202018	0.8	0	3.05957007408142	0	0.00485772644534857
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	39167211	39167225	0.92	5.02784013748169	36.714900970459	0.0357321707861083	0.0582928127364754
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	40224455	40224469	1	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	40417483	40417497	0.89	15.0834999084473	186.634002685547	0.107196366639222	0.29632167542985
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	45309251	45309265	0.69	6.70379018783569	12.2383103370667	0.047642918103192	0.0194309534775405
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	45822821	45822835	0.89	33.5190010070801	24.4766006469727	0.238214946341675	0.0388618751576502
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	51203294	51203308	0.77	10.055700302124	58.1319007873535	0.0714644839025025	0.0922969126170082
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	55294296	55294310	0.81	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	58518382	58518396	0.69	11.7315998077393	296.778991699219	0.083374872005055	0.471200567888288
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	59220937	59220951	0.7	18.4354000091553	705.231994628906	0.13101786127339	1.11970768031626
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	61802615	61802629	0.95	4.18987011909485	94.846752166748	0.0297768327101379	0.150589646616988
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	62052842	62052856	0.85	0	45.8936004638672	0	0.0728659750381831
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	62052844	62052858	0.85	0	45.8936004638672	0	0.0728659750381831
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	65100719	65100733	0.75	1.675950050354	7.64893531799316	0.0119107473170837	0.0121443322013573
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	65532697	65532711	0.75	145.806999206543	561.432006835938	1.03623036035265	0.89139422887409
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	65617724	65617738	0.71	6.70379018783569	30.5956993103027	0.047642918103192	0.0485772621822406
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	66147096	66147110	0.88	15.083550453186	26.0064001083374	0.107196725853754	0.0412907612820456
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	66244565	66244579	0.71	15.0834999084473	156.037994384766	0.107196366639222	0.247743922658676
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	66251631	66251645	0.78	3.35190010070801	55.0722999572754	0.0238214946341675	0.0874391373398908
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	67364899	67364913	0.92	11.731650352478	104.025650024414	0.0833752312195862	0.165163123864678
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	67680653	67680667	0.85	0	6.11915016174316	0	0.00971546878941256
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	67687731	67687745	0.94	0	16.8276505470276	0	0.0267175194867607
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	67824152	67824166	0.76	7.54176497459412	52.0127506256104	0.0535982900673257	0.0825814438275956
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	67993961	67993975	0.66	167.595001220703	1450.23999023438	1.19107470459784	2.30256832891094
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	68589769	68589783	0.77	13.4075498580933	64.2509994506836	0.0952856193221387	0.102012299641599
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	68867029	68867043	0.75	6.70379018783569	15.2979001998901	0.047642918103192	0.0242887113417791
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	68883624	68883638	0.74	0	24.4766006469727	0	0.0388618751576502
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	69652211	69652225	0.73	9.21772003173828	6.11915016174316	0.0655090729669809	0.00971546878941256
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70116680	70116694	0.67	3.35190010070801	52.0126991271973	0.0238214946341675	0.0825813620627734
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70127701	70127715	0.68	73.74169921875	468.114990234375	0.524072149967357	0.743233366932551
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70192172	70192186	0.71	0	0	0	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70254183	70254197	1	0	3.05957007408142	0	0.00485772644534857
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70442153	70442167	0.91	0	18.357400894165	0	0.0291463276317422
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70572144	70572158	0.73	8.37973976135254	15.2979001998901	0.0595536620314594	0.0242887113417791
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	70572365	70572379	0.85	3.35190010070801	6.11915016174316	0.0238214946341675	0.00971546878941256
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	71203458	71203472	0.68	5.02784514427185	52.0126991271973	0.0357322063686797	0.0825813620627734
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	71419027	71419041	0.74	6.70379018783569	27.5361499786377	0.047642918103192	0.0437195686699454
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	72066416	72066430	0.88	3.35190010070801	30.5956993103027	0.0238214946341675	0.0485772621822406
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	74042375	74042389	0.71	3.35190010070801	55.0722999572754	0.0238214946341675	0.0874391373398908
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	74120867	74120881	0.85	16.7594499588013	16.8276505470276	0.119107113956306	0.0267175194867607
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	74128939	74128953	0.81	3.35190010070801	73.4297523498535	0.0238214946341675	0.116585546736455
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	74375038	74375052	0.78	51.9543495178223	244.765495300293	0.369232441622901	0.388617939984934
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	75608930	75608944	0.71	13.407600402832	0	0.09528597853667	0
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	76024195	76024209	0.67	8.37973976135254	171.335998535156	0.0595536620314594	0.272032799044263
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	76140592	76140606	0.73	35.1949005126953	1167.22497558594	0.250125334444227	1.8532210389976
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	76248460	76248474	0.8	10.0556697845459	78.019100189209	0.0714642670182572	0.123872124858982
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	76251920	76251934	0.96	8.37974524497986	41.3042001724243	0.0595537010028472	0.0655793136366704
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	76411049	76411063	0.91	1.675950050354	4.58936011791229	0.0119107473170837	0.00728659761738056
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	77460343	77460357	0.86	10.055700302124	45.8936004638672	0.0714644839025025	0.0728659750381831
ampA10/A10	ampA10	A10	SlGABL2	SL4.0ch01	77529909	77529923	0.95	6.70379018783569	0	0.047642918103192	0
