Original_ID	Match_Num	GeneID	Family	CommonName	n-seqlets
A10	10	Solyc02g084230.1	BBR-BPC	SlGABL2	21888
F103	103	Solyc02g088340.2	WRKY	SlWRKY3	7925
F104	104	Solyc08g080540.2	HSF	SolycHsfB2b	5748
F108	108	Solyc06g053220.2	HD-ZIP	SlHZIP2	5796
F115	115	Solyc05g050830.1	ERF	SlERF4-2	29509
A12	12	Solyc09g075420.2	ERF	Sl-ERF_E_1	2297
D121	121	Solyc03g093560.1	ERF	Sl-ERF_C_6	2224
D124	124	Solyc04g078640.1	ERF	SlERF5	10507
D128	128	Solyc11g020670.1	TCP	SlTCP12	12093
D129	129	Solyc08g076930.1	bHLH	SlMYC2	2406
A13	13	Solyc10g006880.2	NAC	NAC-NOR	1719
D131	131	Solyc08g083130.2	HD-ZIP	SlHZIP3	24909
A15	15	Solyc02g077920.2	SBP	CNR	17685
E155	155	Solyc07g063420.2	NAC	SlNAM5	5742
A16	16	Solyc06g066370.2	WRKY	SlWRKY31	33243
A17	17	Solyc03g124110.1	ERF	CBF2	15212
A18	18	Solyc08g006320.2	WRKY	SlWRKY11	5760
A19	19	Solyc02g090820.2	HSF	SolycHsfB1	8483
A2	2	Solyc04g077980.1	C2H2	CZFP1	3295
A20	20	Solyc06g060230.2	NAC	SlNAM1	4526
A24	24	Solyc01g095630.2	WRKY	SlWRKY41	1649
A27	27	Solyc06g073730.1	EIL	EIL4	4335
A28	28	Solyc06g071230.2	MYB_related	LES1	26962
A29	29	Solyc01g096810.2	EIL	EIL3	12572
A3	3	Solyc01g107170.2	C2H2	SlZF2	2679
A33	33	Solyc01g008230.2	TCP	SlTCP15	3636
B37	37	Solyc04g081170.2	BBR-BPC	SlGABL4	5771
B39	39	Solyc01g009170.2	EIL	EIL2	1593
B43	43	Solyc07g053740.1	ERF	Sl-ERF_F_4	16452
B44	44	Solyc10g006130.1	ERF	SlERF36	2456
F47	47	Solyc06g036170.1	GRAS	GRAS9	27102
B48	48	Solyc12g009240.1	ERF	SlERF4-1	2554
B49	49	Solyc01g065980.2	ERF	Sl-ERF_E_4	1442
A5	5	Solyc09g015770.2	WRKY	SlWRKY81	11850
B54	54	Solyc04g078420.1	MYB	SlMYB70	3203
B56	56	Solyc04g005100.2	MYB_related	SlMYBL1	3186
A6	6	Solyc07g064890.1	ERF	Sl-ERF_F_2	12717
B61	61	Solyc03g121400.1	Dof	SlDof14	17539
B62	62	Solyc04g078550.2	WRKY	SlWRKY7	14759
B66	66	Solyc06g068460.2	WRKY	SlWRKY40	27360
CN68	68	Solyc11g012980.1	ERF	ERF9	19703
CN72	72	Solyc12g007070.1	HSF	SolycHsfC1	9400
CN73	73	Solyc03g123500.2	ERF	Sl-ERF_C_4	1923
CN75	75	Solyc02g080890.2	WRKY	SlWRKY6	32382
CN77	77	Solyc06g073050.2	NAC	SlNAM4	29896
CN78	78	Solyc01g079260.2	WRKY	SlWRKY23	25386
CN79	79	Solyc01g110480.2	bZIP	SlZIP1	14684
CN80	80	Solyc01g096050.2	bHLH	SlDRP1	1393
CN82	82	Solyc12g043090.1	Trihelix	SlMADF1	13489
CN87	87	Solyc02g079970.2	bHLH	SlbHLH014	2473
A9	9	Solyc03g113270.2	HD-ZIP	VAHOX1	2029
CN92	92	Solyc08g007820.1	ERF	ERF10	11112
CN93	93	Solyc05g052050.1	ERF	PTI4	6473
F60	60	Solyc11g005380.1	Trihelix	SlGT2	24321
SR109	109	Solyc03g113620.2	MYB_related	SlMYBL3	52155
